customer_id,recency,frequency,monetary,avg_order
1,8,5,188.84,37.77
2,13,2,94.07,47.04
3,55,4,152.1,38.02
4,6,4,165.36,41.34
5,52,3,149.74,49.91
6,24,4,134.86,33.72
7,43,3,74.04,24.68
8,37,4,187.34,46.84
9,6,1,88.68,88.68
10,25,3,204.51,68.17
11,60,5,288.41,57.68
12,16,3,127.15,42.38
13,101,2,171.47,85.74
14,18,4,132.69,33.17
15,4,5,149.83,29.97
16,14,5,235.15,47.03
17,90,2,82.65,41.32
18,11,3,70.49,23.5
19,60,4,126.89,31.72
20,63,3,160.69,53.56
21,12,4,107.83,26.96
22,2,5,172.72,34.54
23,38,2,112.85,56.42
24,11,4,328.03,82.01
25,45,4,119.04,29.76
26,17,4,311.03,77.76
27,19,6,159.25,26.54
28,45,1,141.89,141.89
29,14,2,104.03,52.02
30,17,5,156.57,31.31
31,14,4,100.96,25.24
32,13,2,161.32,80.66
33,22,8,323.24,40.4
34,49,4,198.46,49.62
35,13,5,146.0,29.2
36,22,3,121.31,40.44
37,33,2,110.71,55.36
38,9,5,228.82,45.76
39,9,5,278.06,55.61
40,81,2,106.52,53.26
41,38,3,72.3,24.1
42,25,4,92.12,23.03
43,31,6,162.26,27.04
44,0,6,278.74,46.46
45,28,4,203.51,50.88
46,21,3,193.91,64.64
47,23,4,124.78,31.2
48,13,4,137.37,34.34
49,2,2,195.46,97.73
50,6,7,378.17,54.02
51,90,2,197.68,98.84
52,15,6,277.74,46.29
53,18,5,143.03,28.61
54,1,4,209.98,52.5
55,1,3,83.97,27.99
56,37,4,253.54,63.38
57,23,3,166.15,55.38
58,21,7,206.19,29.46
59,8,3,67.8,22.6
60,40,7,204.51,29.22
61,5,4,161.88,40.47
62,6,1,108.33,108.33
63,18,6,186.94,31.16
64,10,1,72.83,72.83
65,8,7,178.84,25.55
66,31,3,298.03,99.34
67,31,5,383.38,76.68
68,52,4,176.66,44.16
69,16,6,161.71,26.95
70,2,9,211.67,23.52
71,9,5,166.56,33.31
72,117,2,316.21,158.1
73,27,4,180.16,45.04
74,37,1,205.31,205.31
75,0,1,202.95,202.95
76,21,3,192.96,64.32
77,1,5,129.36,25.87
78,25,2,223.43,111.72
79,76,6,146.02,24.34
80,103,4,123.26,30.82
81,23,1,123.28,123.28
82,18,5,161.26,32.25
83,87,2,142.5,71.25
84,33,7,164.5,23.5
85,2,4,123.36,30.84
86,18,2,169.1,84.55
87,8,2,459.74,229.87
88,19,1,232.5,232.5
89,18,4,97.09,24.27
90,26,3,126.37,42.12
91,13,5,149.42,29.88
92,5,6,201.32,33.55
93,21,2,142.36,71.18
94,53,1,72.07,72.07
95,32,6,287.49,47.92
96,12,6,307.93,51.32
97,82,2,220.91,110.46
98,72,1,57.05,57.05
99,7,3,166.24,55.41
100,1,3,229.66,76.55
101,40,3,208.24,69.41
102,52,7,281.27,40.18
103,103,7,355.06,50.72
104,66,6,177.05,29.51
105,27,6,133.96,22.33
106,22,1,85.65,85.65
107,0,3,128.77,42.92
108,8,6,500.93,83.49
109,18,6,168.37,28.06
110,29,2,225.12,112.56
111,24,5,433.89,86.78
112,40,4,366.27,91.57
113,9,3,142.08,47.36
114,24,3,209.81,69.94
115,2,3,159.72,53.24
116,16,7,181.54,25.93
117,41,5,306.28,61.26
118,35,2,168.26,84.13
119,140,2,76.93,38.47
120,9,2,101.44,50.72
121,20,6,193.69,32.28
122,11,4,269.91,67.48
123,17,2,68.18,34.09
124,58,4,108.06,27.02
125,34,7,238.21,34.03
126,64,3,94.77,31.59
127,6,6,192.16,32.03
128,61,3,115.32,38.44
129,1,2,48.48,24.24
130,65,8,206.43,25.8
131,11,9,250.31,27.81
132,11,1,181.93,181.93
133,21,4,369.51,92.38
134,84,7,182.47,26.07
135,1,2,134.97,67.48
136,13,10,320.85,32.08
137,58,4,441.69,110.42
138,15,4,133.0,33.25
139,6,7,180.28,25.75
140,16,3,122.1,40.7
141,14,1,60.01,60.01
142,74,5,235.07,47.01
143,43,1,185.56,185.56
144,21,4,180.9,45.22
145,133,6,215.85,35.98
146,18,6,329.2,54.87
147,1,5,170.83,34.17
148,9,2,186.74,93.37
149,17,2,109.83,54.92
150,5,2,68.98,34.49
151,88,3,247.55,82.52
152,43,4,185.53,46.38
153,9,2,215.9,107.95
154,26,2,154.56,77.28
155,38,2,164.92,82.46
156,85,3,101.08,33.69
157,64,4,202.59,50.65
158,21,3,267.82,89.27
159,44,3,138.07,46.02
160,24,4,130.76,32.69
161,24,3,210.58,70.19
162,3,5,125.45,25.09
163,4,5,326.16,65.23
164,22,2,109.1,54.55
165,9,3,207.07,69.02
166,0,2,146.19,73.1
167,38,3,248.2,82.73
168,0,4,275.04,68.76
169,27,3,157.85,52.62
170,23,5,354.58,70.92
171,104,4,103.2,25.8
172,19,5,220.39,44.08
173,1,2,250.35,125.18
174,24,2,164.47,82.24
175,55,2,90.64,45.32
176,172,3,159.44,53.15
177,16,3,114.21,38.07
178,11,6,172.72,28.79
179,71,6,223.21,37.2
180,6,3,63.72,21.24
181,28,3,131.21,43.74
182,15,4,176.15,44.04
183,1,3,151.77,50.59
184,12,2,84.34,42.17
185,9,3,183.86,61.29
186,34,6,207.86,34.64
187,89,6,426.24,71.04
188,9,4,208.06,52.02
189,50,5,155.64,31.13
190,1,2,188.35,94.18
191,23,4,96.02,24.0
192,2,5,191.29,38.26
193,81,4,185.68,46.42
194,43,4,172.08,43.02
195,32,4,122.06,30.52
196,52,4,170.1,42.52
197,31,6,150.14,25.02
198,104,4,337.78,84.44
199,37,6,210.66,35.11
200,77,3,180.57,60.19
201,21,3,81.86,27.29
202,3,6,171.87,28.64
203,22,4,210.17,52.54
204,4,4,250.12,62.53
205,26,4,117.79,29.45
206,19,7,260.18,37.17
207,29,7,202.81,28.97
208,0,4,94.67,23.67
209,6,6,170.41,28.4
210,20,3,234.07,78.02
211,90,5,287.38,57.48
212,14,4,182.96,45.74
213,16,3,154.07,51.36
214,37,5,161.86,32.37
215,27,2,46.6,23.3
216,10,4,191.79,47.95
217,15,2,80.48,40.24
218,7,4,286.51,71.63
219,101,4,108.37,27.09
220,4,2,221.0,110.5
221,13,3,74.07,24.69
222,0,5,483.64,96.73
223,7,3,82.81,27.6
224,45,6,307.79,51.3
225,6,1,69.19,69.19
226,2,4,209.66,52.42
227,19,3,318.94,106.31
228,0,1,87.53,87.53
229,2,3,421.16,140.39
230,49,3,323.21,107.74
231,44,5,119.8,23.96
232,74,3,143.22,47.74
233,57,2,109.47,54.74
234,34,2,127.54,63.77
235,1,1,82.18,82.18
236,45,3,98.03,32.68
237,56,5,179.4,35.88
238,48,4,206.61,51.65
239,21,6,123.63,20.6
240,7,6,279.55,46.59
241,55,4,175.84,43.96
242,38,5,329.88,65.98
243,118,2,98.1,49.05
244,5,4,131.59,32.9
245,7,5,142.03,28.41
246,7,5,221.82,44.36
247,47,4,92.15,23.04
248,6,3,104.74,34.91
249,2,3,156.92,52.31
250,196,4,99.43,24.86
251,0,4,169.56,42.39
252,54,5,302.85,60.57
253,13,1,205.35,205.35
254,55,3,136.59,45.53
255,24,5,265.92,53.18
256,69,3,178.29,59.43
257,78,5,196.85,39.37
258,0,4,212.68,53.17
259,2,3,121.98,40.66
260,8,4,146.72,36.68
261,33,8,275.96,34.49
262,65,4,163.35,40.84
263,18,6,301.85,50.31
264,28,9,325.6,36.18
265,6,2,185.05,92.52
266,49,3,184.93,61.64
267,102,3,156.03,52.01
268,9,2,182.66,91.33
269,20,4,251.61,62.9
270,2,5,210.5,42.1
271,24,2,80.76,40.38
272,20,8,244.77,30.6
273,4,7,160.13,22.88
274,17,3,257.45,85.82
275,12,3,203.03,67.68
276,22,2,80.29,40.15
277,26,1,68.55,68.55
278,0,5,303.38,60.68
279,42,4,126.14,31.54
280,37,5,118.97,23.79
281,13,6,148.74,24.79
282,1,2,105.87,52.94
283,42,2,97.33,48.66
284,93,3,121.27,40.42
285,8,7,278.74,39.82
286,11,4,131.93,32.98
287,6,4,193.75,48.44
288,25,3,89.46,29.82
289,5,7,330.59,47.23
290,13,2,72.4,36.2
291,35,4,165.23,41.31
292,24,2,115.29,57.64
293,14,3,167.31,55.77
294,16,5,247.97,49.59
295,24,6,178.74,29.79
296,0,9,330.69,36.74
297,2,3,241.92,80.64
298,63,3,130.86,43.62
299,2,5,362.79,72.56
300,36,1,127.18,127.18
301,75,5,163.57,32.71
302,9,4,169.35,42.34
303,13,7,402.79,57.54
304,25,3,170.26,56.75
305,64,3,170.18,56.73
306,85,4,197.75,49.44
307,40,7,299.66,42.81
308,2,1,128.91,128.91
309,33,5,229.08,45.82
310,15,5,188.12,37.62
311,19,4,176.02,44.0
312,1,5,265.63,53.13
313,6,5,144.55,28.91
314,46,5,184.89,36.98
315,18,2,107.42,53.71
316,10,6,142.54,23.76
317,14,7,165.79,23.68
318,57,1,104.32,104.32
319,41,5,270.92,54.18
320,9,3,157.98,52.66
321,3,3,112.08,37.36
322,8,4,290.22,72.56
323,76,2,101.03,50.52
324,26,2,74.18,37.09
325,22,6,385.68,64.28
326,27,1,108.9,108.9
327,13,3,301.82,100.61
328,49,4,163.16,40.79
329,22,3,144.7,48.23
330,3,3,81.46,27.15
331,4,2,99.64,49.82
332,23,2,158.22,79.11
333,82,4,215.35,53.84
334,11,2,133.36,66.68
335,61,3,126.07,42.02
336,43,1,105.54,105.54
337,8,2,72.55,36.28
338,1,8,377.03,47.13
339,3,7,287.08,41.01
340,39,2,116.65,58.32
341,6,2,97.34,48.67
342,13,5,376.62,75.32
343,20,6,170.05,28.34
344,38,6,190.36,31.73
345,3,1,243.02,243.02
346,15,6,220.41,36.74
347,19,4,96.28,24.07
348,23,8,263.37,32.92
349,51,4,132.03,33.01
350,5,4,101.14,25.28
351,49,4,134.21,33.55
352,35,5,131.8,26.36
353,24,5,142.04,28.41
354,36,4,179.47,44.87
355,15,4,103.71,25.93
356,4,4,237.94,59.48
357,32,3,125.35,41.78
358,22,5,144.87,28.97
359,30,2,104.77,52.38
360,12,1,52.05,52.05
361,71,8,191.98,24.0
362,26,2,100.88,50.44
363,2,2,143.39,71.69
364,17,2,158.72,79.36
365,42,4,136.64,34.16
366,47,2,110.91,55.46
367,20,4,178.38,44.6
368,67,7,371.29,53.04
369,9,2,127.84,63.92
370,15,3,108.51,36.17
371,68,4,118.04,29.51
372,67,4,239.21,59.8
373,34,8,166.32,20.79
374,58,6,174.44,29.07
375,2,3,97.77,32.59
376,60,2,185.47,92.74
377,11,8,358.63,44.83
378,5,6,189.89,31.65
379,8,4,124.02,31.0
380,16,3,134.97,44.99
381,8,4,192.87,48.22
382,11,3,184.73,61.58
383,4,5,174.97,34.99
384,10,4,280.27,70.07
385,25,4,131.9,32.98
386,17,7,201.11,28.73
387,12,2,103.74,51.87
388,41,5,202.67,40.53
389,67,3,212.26,70.75
390,42,3,85.9,28.63
391,12,4,110.32,27.58
392,40,4,184.06,46.02
393,4,2,71.11,35.56
394,4,4,146.64,36.66
395,12,3,123.41,41.14
396,49,5,285.43,57.09
397,8,7,384.81,54.97
398,1,6,175.67,29.28
399,4,6,242.74,40.46
400,58,4,143.91,35.98
401,30,4,226.48,56.62
402,8,1,50.26,50.26
403,24,4,261.47,65.37
404,22,5,150.1,30.02
405,31,7,162.13,23.16
406,7,3,113.29,37.76
407,59,2,107.43,53.72
408,11,3,91.88,30.63
409,35,3,140.43,46.81
410,0,2,173.85,86.92
411,13,3,101.34,33.78
412,13,6,348.17,58.03
413,23,7,496.5,70.93
414,2,5,168.43,33.69
415,46,3,188.0,62.67
416,7,6,230.44,38.41
417,33,5,174.86,34.97
418,48,4,148.76,37.19
419,24,5,115.34,23.07
420,40,1,94.43,94.43
421,32,3,205.16,68.39
422,13,3,111.41,37.14
423,49,4,304.16,76.04
424,10,6,231.76,38.63
425,25,4,261.91,65.48
426,41,6,189.98,31.66
427,14,3,154.07,51.36
428,10,5,225.93,45.19
429,18,6,183.65,30.61
430,51,3,235.74,78.58
431,79,2,92.43,46.22
432,23,1,301.76,301.76
433,32,5,129.43,25.89
434,70,4,198.96,49.74
435,3,5,147.83,29.57
436,7,2,76.54,38.27
437,37,2,78.3,39.15
438,52,3,63.04,21.01
439,58,3,93.53,31.18
440,16,2,190.92,95.46
441,2,3,201.97,67.32
442,17,6,147.78,24.63
443,7,3,177.82,59.27
444,10,4,124.94,31.24
445,44,5,111.69,22.34
446,2,3,212.49,70.83
447,52,3,226.8,75.6
448,16,3,112.65,37.55
449,27,6,303.38,50.56
450,2,4,157.83,39.46
451,12,3,149.75,49.92
452,2,5,174.36,34.87
453,97,8,187.14,23.39
454,49,2,108.13,54.06
455,18,8,188.41,23.55
456,7,4,201.65,50.41
457,81,2,170.99,85.5
458,12,3,71.41,23.8
459,5,2,167.4,83.7
460,24,5,178.03,35.61
461,86,4,94.93,23.73
462,0,3,156.45,52.15
463,8,2,101.81,50.9
464,83,3,105.61,35.2
465,5,4,108.96,27.24
466,3,4,187.77,46.94
467,25,2,128.4,64.2
468,59,8,251.6,31.45
469,19,3,238.15,79.38
470,156,4,303.5,75.88
471,34,5,108.58,21.72
472,2,4,188.51,47.13
473,148,7,193.98,27.71
474,15,6,240.52,40.09
475,10,3,103.26,34.42
476,24,2,320.66,160.33
477,10,6,244.18,40.7
478,2,4,151.39,37.85
479,0,6,305.42,50.9
480,17,2,79.28,39.64
481,54,4,208.1,52.02
482,25,4,149.22,37.3
483,214,4,156.67,39.17
484,10,3,412.52,137.51
485,9,2,150.12,75.06
486,5,5,143.26,28.65
487,5,2,115.42,57.71
488,10,8,205.17,25.65
489,47,3,109.84,36.61
490,70,4,171.2,42.8
491,110,4,126.95,31.74
492,7,7,324.8,46.4
493,63,3,130.35,43.45
494,11,2,119.45,59.72
495,3,6,172.54,28.76
496,61,3,86.32,28.77
497,30,7,169.86,24.27
498,5,4,178.17,44.54
499,16,5,163.98,32.8
500,10,3,162.78,54.26
501,40,1,187.63,187.63
502,18,4,124.59,31.15
503,136,6,433.18,72.2
504,1,4,115.33,28.83
505,13,3,88.81,29.6
506,19,4,233.4,58.35
507,20,4,161.39,40.35
508,11,3,102.84,34.28
509,39,3,86.48,28.83
510,62,4,116.17,29.04
511,83,3,145.59,48.53
512,49,2,246.74,123.37
513,57,3,76.12,25.37
514,23,5,191.61,38.32
515,52,5,238.06,47.61
516,10,5,154.98,31.0
517,15,4,293.5,73.38
518,11,4,180.56,45.14
519,18,2,187.23,93.62
520,10,5,242.99,48.6
521,97,3,239.34,79.78
522,11,3,133.23,44.41
523,3,3,297.72,99.24
524,22,7,217.47,31.07
525,1,2,108.45,54.22
526,3,3,125.98,41.99
527,7,3,122.1,40.7
528,18,3,121.99,40.66
529,17,6,206.58,34.43
530,48,4,168.57,42.14
531,40,2,127.62,63.81
532,16,4,150.72,37.68
533,12,6,262.68,43.78
534,11,5,194.59,38.92
535,44,5,213.28,42.66
536,1,6,157.26,26.21
537,0,3,86.82,28.94
538,47,4,212.67,53.17
539,19,3,207.43,69.14
540,4,9,214.72,23.86
541,8,4,110.94,27.74
542,80,5,288.62,57.72
543,58,6,175.38,29.23
544,37,5,146.86,29.37
545,19,4,110.77,27.69
546,22,4,111.11,27.78
547,110,2,348.25,174.12
548,101,5,174.3,34.86
549,7,5,164.31,32.86
550,49,4,108.7,27.18
551,6,3,75.1,25.03
552,7,6,366.2,61.03
553,33,2,205.99,103.0
554,15,8,252.43,31.55
555,80,4,146.43,36.61
556,2,5,189.85,37.97
557,21,3,147.71,49.24
558,75,1,222.98,222.98
559,70,5,209.47,41.89
560,5,4,134.32,33.58
561,13,5,143.03,28.61
562,28,4,161.12,40.28
563,5,2,108.23,54.12
564,103,1,125.65,125.65
565,73,4,91.67,22.92
566,5,3,150.8,50.27
567,3,7,175.78,25.11
568,2,3,110.11,36.7
569,72,5,173.85,34.77
570,6,4,303.53,75.88
571,16,8,276.67,34.58
572,17,6,192.55,32.09
573,27,5,123.61,24.72
574,2,2,119.45,59.72
575,7,7,175.01,25.0
576,80,2,204.18,102.09
577,71,3,137.18,45.73
578,45,2,70.32,35.16
579,0,4,153.43,38.36
580,11,3,219.58,73.19
581,29,2,195.31,97.66
582,9,1,87.91,87.91
583,72,2,175.13,87.56
584,30,2,135.68,67.84
585,2,6,181.59,30.26
586,71,3,75.82,25.27
587,94,7,268.77,38.4
588,2,3,101.88,33.96
589,22,6,213.35,35.56
590,10,3,74.62,24.87
591,14,2,128.2,64.1
592,5,2,113.44,56.72
593,25,3,174.29,58.1
594,95,4,144.31,36.08
595,20,3,144.94,48.31
596,2,2,196.31,98.16
597,29,6,408.85,68.14
598,12,6,454.23,75.7
599,58,3,433.31,144.44
600,17,2,120.74,60.37
601,6,4,173.42,43.36
602,6,1,300.59,300.59
603,43,3,257.03,85.68
604,9,7,189.83,27.12
605,43,8,199.58,24.95
606,6,4,90.85,22.71
607,11,4,188.45,47.11
608,18,4,286.29,71.57
609,86,2,83.29,41.64
610,80,4,124.91,31.23
611,6,5,227.64,45.53
612,13,5,271.88,54.38
613,4,2,136.84,68.42
614,21,4,123.39,30.85
615,18,1,88.91,88.91
616,69,3,121.08,40.36
617,79,5,223.8,44.76
618,14,7,183.68,26.24
619,20,4,106.0,26.5
620,67,3,71.23,23.74
621,49,5,150.46,30.09
622,0,3,219.89,73.3
623,11,5,137.69,27.54
624,16,3,77.44,25.81
625,7,7,166.75,23.82
626,6,3,93.78,31.26
627,1,1,70.93,70.93
628,30,6,143.84,23.97
629,9,4,224.41,56.1
630,1,3,90.24,30.08
631,7,6,221.43,36.9
632,48,5,149.84,29.97
633,57,5,140.65,28.13
634,19,8,295.68,36.96
635,16,3,134.68,44.89
636,114,3,247.84,82.61
637,6,6,171.85,28.64
638,7,5,129.92,25.98
639,10,4,141.02,35.26
640,5,3,106.67,35.56
641,14,5,341.63,68.33
642,72,5,145.03,29.01
643,28,6,223.76,37.29
644,15,2,119.07,59.54
645,81,3,89.37,29.79
646,1,2,77.97,38.98
647,7,5,190.07,38.01
648,25,2,130.34,65.17
649,28,4,140.28,35.07
650,1,2,112.9,56.45
651,15,3,74.29,24.76
652,31,6,157.08,26.18
653,35,5,259.64,51.93
654,30,4,130.8,32.7
655,11,4,239.13,59.78
656,2,6,296.06,49.34
657,16,4,254.71,63.68
658,4,3,295.68,98.56
659,88,2,153.66,76.83
660,19,3,289.64,96.55
661,11,2,192.16,96.08
662,43,3,72.71,24.24
663,20,2,146.07,73.04
664,11,4,413.86,103.46
665,50,4,89.95,22.49
666,60,7,218.1,31.16
667,33,6,148.84,24.81
668,1,7,179.82,25.69
669,25,2,90.16,45.08
670,43,3,165.58,55.19
671,4,5,159.56,31.91
672,7,3,163.08,54.36
673,64,2,310.14,155.07
674,0,5,264.17,52.83
675,41,5,189.73,37.95
676,19,2,104.12,52.06
677,17,5,211.61,42.32
678,0,4,92.62,23.16
679,51,2,95.03,47.52
680,13,3,174.96,58.32
681,23,2,128.52,64.26
682,33,3,231.56,77.19
683,36,3,214.88,71.63
684,93,4,188.89,47.22
685,22,5,159.76,31.95
686,15,5,149.52,29.9
687,92,1,198.79,198.79
688,30,4,189.55,47.39
689,10,1,57.59,57.59
690,4,4,240.62,60.16
691,55,2,145.81,72.9
692,13,5,173.16,34.63
693,32,6,262.96,43.83
694,19,2,160.89,80.44
695,6,4,282.09,70.52
696,27,4,281.0,70.25
697,1,4,133.04,33.26
698,15,3,138.79,46.26
699,23,4,141.5,35.38
700,17,4,348.64,87.16
